name,slug,value,date_of_information,ranking,region
"China","china","1,416,043,270","2024",1,"East and Southeast Asia"
"India","india","1,409,128,296","2024",2,"South Asia"
"United States","united-states","341,963,408","2024",3,"North America"
"Indonesia","indonesia","281,562,465","2024",4,"East and Southeast Asia"
"Pakistan","pakistan","252,363,571","2024",5,"South Asia"
"Nigeria","nigeria","236,747,130","2024",6,"Africa"
"Brazil","brazil","220,051,512","2024",7,"South America"
"Bangladesh","bangladesh","168,697,184","2024",8,"South Asia"
"Russia","russia","140,820,810","2024",9,"Central Asia"
"Mexico","mexico","130,739,927","2024",10,"North America"
"Japan","japan","123,201,945","2024",11,"East and Southeast Asia"
"Ethiopia","ethiopia","118,550,298","2024",12,"Africa"
"Philippines","philippines","118,277,063","2024",13,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","115,403,027","2024",14,"Africa"
"Egypt","egypt","111,247,248","2024",15,"Africa"
"Vietnam","vietnam","105,758,975","2024",16,"East and Southeast Asia"
"Iran","iran","88,386,937","2024",17,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","84,119,531","2024",18,"Middle East"
"Germany","germany","84,119,100","2024",19,"Europe"
"Thailand","thailand","69,920,998","2024",20,"East and Southeast Asia"
"United Kingdom","united-kingdom","68,459,055","2024",21,"Europe"
"France","france","68,374,591","2024",22,"Europe"
"Tanzania","tanzania","67,462,121","2024",23,"Africa"
"Italy","italy","60,964,931","2024",24,"Europe"
"South Africa","south-africa","60,442,647","2024",25,"Africa"
"Kenya","kenya","58,246,378","2024",26,"Africa"
"Burma","burma","57,527,139","2024",27,"East and Southeast Asia"
"Korea, South","korea-south","52,081,799","2024",28,"East and Southeast Asia"
"Sudan","sudan","50,467,278","2024",29,"Africa"
"Colombia","colombia","49,588,357","2024",30,"South America"
"Uganda","uganda","49,283,041","2024",31,"Africa"
"Spain","spain","47,280,433","2024",32,"Europe"
"Algeria","algeria","47,022,473","2024",33,"Africa"
"Argentina","argentina","46,994,384","2024",34,"South America"
"Iraq","iraq","42,083,436","2024",35,"Middle East"
"Afghanistan","afghanistan","40,121,552","2024",36,"South Asia"
"Canada","canada","38,794,813","2024",37,"North America"
"Poland","poland","38,746,310","2024",38,"Europe"
"Morocco","morocco","37,387,585","2024",39,"Africa"
"Angola","angola","37,202,061","2024",40,"Africa"
"Saudi Arabia","saudi-arabia","36,544,431","2024",41,"Middle East"
"Uzbekistan","uzbekistan","36,520,593","2024",42,"Central Asia"
"Ukraine","ukraine","35,661,826","2024",43,"Europe"
"Ghana","ghana","34,589,092","2024",44,"Africa"
"Malaysia","malaysia","34,564,810","2024",45,"East and Southeast Asia"
"Mozambique","mozambique","33,350,954","2024",46,"Africa"
"Peru","peru","32,600,249","2024",47,"South America"
"Yemen","yemen","32,140,443","2024",48,"Middle East"
"Venezuela","venezuela","31,250,306","2024",49,"South America"
"Nepal","nepal","31,122,387","2024",50,"South Asia"
"Cameroon","cameroon","30,966,105","2024",51,"Africa"
"Cote d'Ivoire","cote-divoire","29,981,758","2024",52,"Africa"
"Madagascar","madagascar","29,452,714","2024",53,"Africa"
"Australia","australia","26,768,598","2024",54,"Australia and Oceania"
"Niger","niger","26,342,784","2024",55,"Africa"
"Korea, North","korea-north","26,298,666","2024",56,"East and Southeast Asia"
"Syria","syria","23,865,423","2024",57,"Middle East"
"Taiwan","taiwan","23,595,274","2024",58,"East and Southeast Asia"
"Burkina Faso","burkina-faso","23,042,199","2024",59,"Africa"
"Mali","mali","21,990,607","2024",60,"Africa"
"Sri Lanka","sri-lanka","21,982,608","2024",61,"South Asia"
"Malawi","malawi","21,763,309","2024",62,"Africa"
"Zambia","zambia","20,799,116","2024",63,"Africa"
"Kazakhstan","kazakhstan","20,260,006","2024",64,"Central Asia"
"Chad","chad","19,093,595","2024",65,"Africa"
"Senegal","senegal","18,847,519","2024",66,"Africa"
"Chile","chile","18,664,652","2024",67,"South America"
"Ecuador","ecuador","18,309,984","2024",68,"South America"
"Guatemala","guatemala","18,255,216","2024",69,"Central America and the Caribbean"
"Romania","romania","18,148,155","2024",70,"Europe"
"Netherlands","netherlands","17,772,378","2024",71,"Europe"
"Zimbabwe","zimbabwe","17,150,352","2024",72,"Africa"
"Cambodia","cambodia","17,063,669","2024",73,"East and Southeast Asia"
"Benin","benin","14,697,052","2024",74,"Africa"
"Guinea","guinea","13,986,179","2024",75,"Africa"
"Rwanda","rwanda","13,623,302","2024",76,"Africa"
"Burundi","burundi","13,590,102","2024",77,"Africa"
"Somalia","somalia","13,017,273","2024",78,"Africa"
"South Sudan","south-sudan","12,703,714","2024",79,"Africa"
"Bolivia","bolivia","12,311,974","2024",80,"South America"
"Tunisia","tunisia","12,048,847","2024",81,"Africa"
"Belgium","belgium","11,977,634","2024",82,"Europe"
"Haiti","haiti","11,753,943","2024",83,"Central America and the Caribbean"
"Jordan","jordan","11,174,024","2024",84,"Middle East"
"Cuba","cuba","10,966,038","2024",85,"Central America and the Caribbean"
"Czechia","czechia","10,837,890","2024",86,"Europe"
"Dominican Republic","dominican-republic","10,815,857","2024",87,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","10,650,239","2024",88,"Central Asia"
"Sweden","sweden","10,589,835","2024",89,"Europe"
"Greece","greece","10,461,091","2024",90,"Europe"
"Tajikistan","tajikistan","10,394,063","2024",91,"Central Asia"
"Portugal","portugal","10,207,177","2024",92,"Europe"
"Papua New Guinea","papua-new-guinea","10,046,233","2024",93,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","10,032,213","2024",94,"Middle East"
"Hungary","hungary","9,855,745","2024",95,"Europe"
"Honduras","honduras","9,529,188","2024",96,"Central America and the Caribbean"
"Belarus","belarus","9,501,451","2024",97,"Europe"
"Israel","israel","9,402,617","2024",98,"Middle East"
"Sierra Leone","sierra-leone","9,121,049","2024",99,"Africa"
"Austria","austria","8,967,982","2024",100,"Europe"
"Togo","togo","8,917,994","2024",101,"Africa"
"Switzerland","switzerland","8,860,574","2024",102,"Europe"
"Laos","laos","7,953,556","2024",103,"East and Southeast Asia"
"Paraguay","paraguay","7,522,549","2024",104,"South America"
"Libya","libya","7,361,263","2024",105,"Africa"
"Hong Kong","hong-kong","7,297,821","2024",106,"East and Southeast Asia"
"Bulgaria","bulgaria","6,782,659","2024",107,"Europe"
"Nicaragua","nicaragua","6,676,948","2024",108,"Central America and the Caribbean"
"Serbia","serbia","6,652,212","2024",109,"Europe"
"El Salvador","el-salvador","6,628,702","2024",110,"Central America and the Caribbean"
"Eritrea","eritrea","6,343,956","2024",111,"Africa"
"Kyrgyzstan","kyrgyzstan","6,172,101","2024",112,"Central Asia"
"Congo, Republic of the","congo-republic-of-the","6,097,665","2024",113,"Africa"
"Singapore","singapore","6,028,459","2024",114,"East and Southeast Asia"
"Denmark","denmark","5,973,136","2024",115,"Europe"
"Turkmenistan","turkmenistan","5,744,151","2024",116,"Central Asia"
"Central African Republic","central-african-republic","5,650,957","2024",117,"Africa"
"Finland","finland","5,626,414","2024",118,"Europe"
"Slovakia","slovakia","5,563,649","2024",119,"Europe"
"Norway","norway","5,509,733","2024",120,"Europe"
"Liberia","liberia","5,437,249","2024",121,"Africa"
"Lebanon","lebanon","5,364,482","2024",122,"Middle East"
"Costa Rica","costa-rica","5,265,575","2024",123,"Central America and the Caribbean"
"Ireland","ireland","5,233,461","2024",124,"Europe"
"New Zealand","new-zealand","5,161,211","2024",125,"Australia and Oceania"
"Georgia","georgia","4,900,961","2024",126,"Central Asia"
"Panama","panama","4,470,241","2024",127,"Central America and the Caribbean"
"Mauritania","mauritania","4,328,040","2024",128,"Africa"
"Croatia","croatia","4,150,116","2024",129,"Europe"
"Oman","oman","3,901,992","2024",130,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,798,671","2024",131,"Europe"
"Moldova","moldova","3,599,528","2024",132,"Europe"
"Uruguay","uruguay","3,425,330","2024",133,"South America"
"Mongolia","mongolia","3,281,676","2024",134,"East and Southeast Asia"
"West Bank","west-bank","3,243,369","2024",135,"Middle East"
"Kuwait","kuwait","3,138,355","2024",136,"Middle East"
"Albania","albania","3,107,100","2024",137,"Europe"
"Puerto Rico","puerto-rico","3,019,450","2024",138,"Central America and the Caribbean"
"Armenia","armenia","2,976,765","2024",139,"Central Asia"
"Jamaica","jamaica","2,823,713","2024",140,"Central America and the Caribbean"
"Namibia","namibia","2,803,660","2024",141,"Africa"
"Lithuania","lithuania","2,628,186","2024",142,"Europe"
"Qatar","qatar","2,552,088","2024",143,"Middle East"
"Gambia, The","gambia-the","2,523,327","2024",144,"Africa"
"Gabon","gabon","2,455,105","2024",145,"Africa"
"Botswana","botswana","2,450,668","2024",146,"Africa"
"Lesotho","lesotho","2,227,548","2024",147,"Africa"
"Gaza Strip","gaza-strip","2,141,643","2024",148,"Middle East"
"North Macedonia","north-macedonia","2,135,622","2024",149,"Europe"
"Guinea-Bissau","guinea-bissau","2,132,325","2024",150,"Africa"
"Slovenia","slovenia","2,097,893","2024",151,"Europe"
"Kosovo","kosovo","1,977,093","2024",152,"Europe"
"Latvia","latvia","1,801,246","2024",153,"Europe"
"Equatorial Guinea","equatorial-guinea","1,795,834","2024",154,"Africa"
"Bahrain","bahrain","1,566,888","2024",155,"Middle East"
"Timor-Leste","timor-leste","1,506,909","2024",156,"East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1,408,966","2024",157,"Central America and the Caribbean"
"Cyprus","cyprus","1,320,525","2024",158,"Europe"
"Mauritius","mauritius","1,310,504","2024",159,"Africa"
"Estonia","estonia","1,193,791","2024",160,"Europe"
"Eswatini","eswatini","1,138,089","2024",161,"Africa"
"Djibouti","djibouti","994,974","2024",162,"Africa"
"Fiji","fiji","951,611","2024",163,"Australia and Oceania"
"Comoros","comoros","900,141","2024",164,"Africa"
"Bhutan","bhutan","884,546","2024",165,"South Asia"
"Guyana","guyana","794,099","2024",166,"South America"
"Solomon Islands","solomon-islands","726,799","2024",167,"Australia and Oceania"
"Luxembourg","luxembourg","671,254","2024",168,"Europe"
"Suriname","suriname","646,758","2024",169,"South America"
"Macau","macau","644,426","2024",170,"East and Southeast Asia"
"Cabo Verde","cabo-verde","611,014","2024",171,"Africa"
"Montenegro","montenegro","599,849","2024",172,"Europe"
"Brunei","brunei","491,900","2024",173,"East and Southeast Asia"
"Malta","malta","469,730","2024",174,"Europe"
"Belize","belize","415,789","2024",175,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","410,862","2024",176,"Central America and the Caribbean"
"Maldives","maldives","388,858","2024",177,"South Asia"
"Iceland","iceland","364,036","2024",178,"Europe"
"Vanuatu","vanuatu","318,007","2024",179,"Australia and Oceania"
"New Caledonia","new-caledonia","304,167","2024",180,"Australia and Oceania"
"Barbados","barbados","304,139","2024",181,"Central America and the Caribbean"
"French Polynesia","french-polynesia","303,540","2024",182,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","223,561","2024",183,"Africa"
"Samoa","samoa","208,853","2024",184,"Australia and Oceania"
"Guam","guam","169,532","2024",185,"Australia and Oceania"
"Saint Lucia","saint-lucia","168,038","2024",186,"Central America and the Caribbean"
"Curacao","curacao","153,289","2024",187,"Central America and the Caribbean"
"Aruba","aruba","125,063","2024",188,"Central America and the Caribbean"
"Kiribati","kiribati","116,545","2024",189,"Australia and Oceania"
"Grenada","grenada","114,621","2024",190,"Central America and the Caribbean"
"Tonga","tonga","104,889","2024",191,"Australia and Oceania"
"Virgin Islands","virgin-islands","104,377","2024",192,"Central America and the Caribbean"
"Jersey","jersey","103,387","2024",193,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","102,634","2024",194,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","100,647","2024",195,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","99,603","2024",196,"Australia and Oceania"
"Seychelles","seychelles","98,187","2024",197,"Africa"
"Isle of Man","isle-of-man","92,269","2024",198,"Europe"
"Andorra","andorra","85,370","2024",199,"Europe"
"Marshall Islands","marshall-islands","82,011","2024",200,"Australia and Oceania"
"Dominica","dominica","74,661","2024",201,"Central America and the Caribbean"
"Bermuda","bermuda","72,800","2024",202,"North America"
"Guernsey","guernsey","67,787","2024",203,"Europe"
"Cayman Islands","cayman-islands","66,653","2024",204,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","60,439","2024",205,"Central America and the Caribbean"
"Greenland","greenland","57,751","2024",206,"North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","55,133","2024",207,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","52,933","2024",208,"Europe"
"Northern Mariana Islands","northern-mariana-islands","51,118","2024",209,"Australia and Oceania"
"Sint Maarten","sint-maarten","46,215","2024",210,"Central America and the Caribbean"
"American Samoa","american-samoa","43,895","2024",211,"Australia and Oceania"
"Liechtenstein","liechtenstein","40,272","2024",212,"Europe"
"British Virgin Islands","british-virgin-islands","40,102","2024",213,"Central America and the Caribbean"
"San Marino","san-marino","35,095","2024",214,"Europe"
"Saint Martin","saint-martin","32,996","2024",215,"Central America and the Caribbean"
"Monaco","monaco","31,813","2024",216,"Europe"
"Gibraltar","gibraltar","29,683","2024",217,"Europe"
"Palau","palau","21,864","2024",218,"Australia and Oceania"
"Anguilla","anguilla","19,416","2024",219,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","15,964","2024",220,"Australia and Oceania"
"Tuvalu","tuvalu","11,733","2024",221,"Australia and Oceania"
"Nauru","nauru","9,892","2024",222,"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,943","2024",223,"Africa"
"Cook Islands","cook-islands","7,761","2024",224,"Australia and Oceania"
"Saint Barthelemy","saint-barthelemy","7,086","2024",225,"Central America and the Caribbean"
"Montserrat","montserrat","5,468","2024",226,"Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","5,132","2024",227,"North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,142","2021",228,"South America"
"Svalbard","svalbard","2,556","2025",229,"Europe"
"Tokelau","tokelau","2,453","2024",230,"Australia and Oceania"
"Paracel Islands","paracel-islands","2,230","2024",231,"East and Southeast Asia"
"Niue","niue","1,815","2024",232,"Australia and Oceania"
"Norfolk Island","norfolk-island","1,739","2021",233,"Australia and Oceania"
"Christmas Island","christmas-island","1,692","2021",234,"Australia and Oceania"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2024",235,"Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","593","2021",236,"Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2025",237,"Australia and Oceania"